City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dong Hoi,VN,17.4833,106.6,78.04,88,100,6.35,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,70.79,60,100,5.59,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,19.2,85,45,5.37,scattered clouds
3,Moses Lake,US,47.1301,-119.2781,72.88,38,75,7.47,broken clouds
4,Mimongo,GA,-1.6195,11.6068,69.08,98,91,2.55,light rain
5,Faanui,PF,-16.4833,-151.75,80.67,65,6,11.97,clear sky
6,Albany,US,42.6001,-73.9662,75.78,46,99,5.53,overcast clouds
7,East London,ZA,-33.0153,27.9116,63.9,71,14,16.06,few clouds
8,Rikitea,PF,-23.1203,-134.9692,74.95,76,22,4.56,light rain
9,Hithadhoo,MV,-0.6,73.0833,83.05,66,100,4.81,overcast clouds
10,Marawi,PH,7.9986,124.2928,68.72,94,79,2.17,broken clouds
11,Obera,AR,-27.4871,-55.1199,66.42,72,1,3.71,clear sky
12,Chokurdakh,RU,70.6333,147.9167,30.81,78,87,10.09,overcast clouds
13,Rincon,US,32.296,-81.2354,85.86,73,27,11.18,scattered clouds
14,Mataura,NZ,-46.1927,168.8643,42.48,90,23,1.88,few clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,74,4.0,broken clouds
16,Urumqi,CN,43.801,87.6005,77.95,34,0,6.71,clear sky
17,Hobart,AU,-42.8794,147.3294,46.27,94,20,4.61,few clouds
18,Port Blair,IN,11.6667,92.75,82.44,89,75,8.05,drizzle
19,Upernavik,GL,72.7868,-56.1549,25.21,63,81,9.26,broken clouds
20,Hermanus,ZA,-34.4187,19.2345,58.8,90,85,5.03,light rain
21,San Antonio,US,29.4241,-98.4936,87.94,32,20,11.5,few clouds
22,Bani,DO,18.2833,-70.3333,76.86,72,13,12.66,few clouds
23,Barrow,US,71.2906,-156.7887,32.16,98,94,12.91,overcast clouds
24,Butaritari,KI,3.0707,172.7902,81.46,77,92,18.16,overcast clouds
25,Sabya,SA,17.1495,42.6254,87.42,71,52,5.68,broken clouds
26,Hilo,US,19.7297,-155.09,90.28,85,51,1.99,broken clouds
27,Muros,ES,42.7762,-9.0603,60.1,79,18,11.3,few clouds
28,Ushuaia,AR,-54.8,-68.3,40.66,75,40,36.82,scattered clouds
29,Bluff,NZ,-46.6,168.3333,42.8,69,73,5.59,broken clouds
30,Boyolangu,ID,-8.1181,111.8935,75.47,92,99,4.21,overcast clouds
31,Bolivar,US,37.6145,-93.4105,73.35,81,64,20.49,broken clouds
32,Leningradskiy,RU,69.3833,178.4167,48.81,59,100,5.91,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,52.09,66,40,6.91,scattered clouds
34,Atuona,PF,-9.8,-139.0333,78.58,76,18,18.41,few clouds
35,Faya,SA,18.3851,42.4509,70.32,47,52,4.63,broken clouds
36,Alofi,NU,-19.0595,-169.9187,80.49,78,75,11.5,broken clouds
